analyte_code,sex,age_min_days,age_max_days,low,high,text,critical_low,critical_high,source,effective_from
ICT,any,0,36500,,,Negative,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
BT,any,0,36500,2,7,,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
CT,any,0,36500,4,9,,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
GTT_0,any,6570,36500,70,99,,40,450,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
GTT_60,any,6570,36500,,180,,40,450,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
GTT_120,any,6570,36500,,139,,40,450,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
UVOL24,any,6570,36500,800,2000,,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
UPROT24,any,6570,36500,,150,,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
CA_ION,any,0,36500,1.12,1.32,,0.78,1.58,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
HBEAG,any,0,36500,,,Non-reactive,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
ANTIHBS,any,0,36500,10,,,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
HAV_IGM,any,0,36500,,,Negative,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
HEV_IGM,any,0,36500,,,Negative,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
TYPHI_IGM,any,0,36500,,,Negative,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
CHIK_IGM,any,0,36500,,,Negative,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
SCRUB_IGM,any,0,36500,,,Negative,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
LEPTO_IGM,any,0,36500,,,Negative,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
ANA,any,0,36500,,,Negative,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
CCP,any,6570,36500,,17,,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
HPYL_AG,any,0,36500,,,Negative,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
PSMEAR,any,0,36500,,,Normocytic normochromic; no abnormal cells,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
ST_COL,any,0,36500,,,Brown,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
ST_CONS,any,0,36500,,,Formed,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
ST_OVA,any,0,36500,,,Not seen,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
ST_RBC,any,0,36500,,,Nil,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
ST_WBC,any,0,36500,,,0-2 /hpf,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
UR_APP,any,0,36500,,,Clear,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
UR_CAST,any,0,36500,,,Nil,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
UR_COL,any,0,36500,,,Pale yellow,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
UR_CRYS,any,0,36500,,,Nil,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
UR_EPI,any,0,36500,,,0-5 /hpf,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
UR_RBC,any,0,36500,,,0-2 /hpf,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
UR_WBC,any,0,36500,,,0-5 /hpf,,,"SYNTHETIC - typical adult kit-insert values, not validated for this laboratory",2026-09-26
